SbjCode,Country,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NGSD_NGDP,China,Percent of GDP,37,38.686,42.298,45.509,46.054,48.299,50.354,51.613,50.249,50.909,48.846,48.708,47.676,47.855,45.669,44.359,44.71,44.136,43.786,44.531,45.276,45.722
PCPIPCH,China,Percent change,0.71,-0.737,1.126,3.831,1.78,1.646,4.818,5.909,-0.727,3.176,5.534,2.609,2.568,2.051,1.542,2.123,1.521,1.925,2.902,2.487,0.853,1.878
TM_RPCH,China,Percent change,14.329,22.375,32.655,20.739,13.385,17.693,14.901,7.545,3.117,23.094,13.422,6.591,10.647,7.774,-0.438,4.387,7.315,7.259,-2.904,-0.975,9.298,-5.008
TX_RPCH,China,Percent change,11.275,25.004,31.477,26.956,24.338,26.019,21.128,10.836,-10.56,28.461,10.964,5.882,8.76,4.295,-2.156,0.679,7.971,3.988,1.133,2.09,17.677,-1.969
LUR,China,Percent of total labor force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LE,China,Persons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP,China,Persons,"1,276.27","1,284.53","1,292.27","1,299.88","1,307.56","1,314.48","1,321.29","1,328.02","1,334.50","1,340.91","1,349.16","1,359.22","1,367.26","1,376.46","1,383.26","1,392.32","1,400.11","1,405.41","1,410.08","1,412.12","1,412.60","1,411.75"
GGR_NGDP,China,Percent of GDP,14.844,15.581,15.834,16.359,16.865,17.195,18.21,22.5,23.904,24.732,27.021,27.857,27.728,28.207,29.009,28.924,29.232,28.993,28.051,25.685,26.641,25.885
GGX_NGDP,China,Percent of GDP,17.44,18.464,18.228,17.871,18.267,18.339,18.151,22.525,25.654,25.094,27.119,28.159,28.564,28.89,31.552,32.316,32.635,33.277,34.153,35.403,32.686,33.4
GGXCNL_NGDP,China,Percent of GDP,-2.596,-2.884,-2.394,-1.512,-1.401,-1.144,0.059,-0.025,-1.751,-0.362,-0.098,-0.302,-0.836,-0.683,-2.544,-3.392,-3.403,-4.283,-6.102,-9.718,-6.045,-7.516
GGSB_NPGDP,China,Percent of potential GDP,-1.661,-1.836,-1.426,-0.525,-0.552,-0.675,-0.142,-0.323,-1.454,-0.881,-0.505,-0.355,-0.919,-0.71,-2.244,-3.133,-3.208,-4.117,-5.76,-8.444,-5.568,-6.581
GGXONLB_NGDP,China,Percent of GDP,-1.872,-2.324,-1.691,-1.041,-0.967,-0.7,0.448,0.386,-1.322,0.089,0.394,0.187,-0.324,-0.128,-2.031,-2.712,-2.647,-3.475,-5.25,-8.761,-5.133,-6.573
GGXWDN_NGDP,China,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGXWDG_NGDP,China,Percent of GDP,24.575,25.916,26.8,26.393,26.312,25.568,29.164,27.159,34.567,33.924,33.772,34.393,37.035,39.969,41.489,50.701,54.951,56.659,60.404,70.137,71.836,76.98
BCA,China,U.S. dollars,17.405,35.422,43.052,68.941,132.378,231.843,353.183,420.569,243.257,237.81,136.097,215.392,148.204,236.047,293.022,191.337,188.676,24.131,102.91,248.836,352.886,401.855
BCA_NGDPD,China,Percent of GDP,1.305,2.417,2.598,3.536,5.781,8.418,9.933,9.188,4.78,3.941,1.817,2.522,1.54,2.243,2.637,1.704,1.538,0.174,0.718,1.674,1.987,2.247
NGDP_RPCH,France,Percent change,1.928,1.181,0.84,2.53,1.748,2.654,2.381,0.145,-2.783,1.799,2.23,0.362,0.699,0.963,1.049,0.981,2.46,1.818,1.889,-7.682,6.37,2.522
NGDPDPC,France,U.S. dollars,"23,245.26","25,137.40","30,682.64","35,016.22","36,057.12","37,795.92","43,060.03","47,155.21","43,190.97","42,178.58","45,419.97","42,372.07","44,144.64","44,616.46","37,937.86","38,348.51","40,134.13","43,060.59","41,924.84","40,529.09","45,201.23","42,349.89"
PPPSH,France,Percent,3.311,3.259,3.158,3.076,2.989,2.914,2.831,2.753,2.688,2.598,2.554,2.453,2.466,2.426,2.428,2.462,2.447,2.406,2.386,2.272,2.274,2.256
NID_NGDP,France,Percent of GDP,22.165,21.316,21.186,21.89,22.453,23.238,24.165,24.13,21.333,21.946,23.221,22.627,22.287,22.71,22.712,22.609,23.436,23.857,24.365,24.086,24.875,26.278
NGSD_NGDP,France,Percent of GDP,23.74,22.464,22.022,22.422,22.556,23.491,24.063,23.433,20.783,21.317,22.361,21.662,21.777,21.754,22.344,22.123,22.67,23.026,24.877,22.468,25.236,24.236
PCPIPCH,France,Percent change,1.783,1.939,2.169,2.336,1.887,1.893,1.608,3.16,0.101,1.739,2.286,2.216,0.991,0.611,0.088,0.307,1.165,2.098,1.297,0.526,2.066,5.904
TM_RPCH,France,Percent change,2.173,2.092,0.925,5.336,6.604,6.115,5.612,1.098,-9.223,8.417,6.072,0.326,2.682,4.936,5.671,2.761,4.851,2.946,2.471,-12.649,9.142,8.801
TX_RPCH,France,Percent change,2.901,2.14,-0.945,4.674,4.166,6.454,2.684,0.244,-10.733,8.151,6.603,3.118,2.234,3.342,4.49,1.591,4.63,4.516,1.641,-17.072,10.669,7.364
LUR,France,Percent of total labor force,8.458,8.275,8.525,8.875,8.875,8.85,8.017,7.442,9.117,9.267,9.208,9.767,10.3,10.258,10.342,10.067,9.408,9.017,8.425,8.025,7.858,7.317
LE,France,Persons,25.172,25.435,25.355,25.431,25.715,25.823,26.315,26.779,26.416,26.474,26.524,26.553,26.551,26.557,26.675,26.826,27.045,27.174,27.389,27.415,27.912,28.29
LP,France,Persons,59.267,59.686,60.102,60.505,60.963,61.4,61.795,62.135,62.466,62.765,63.07,63.376,63.698,64.028,64.301,64.469,64.639,64.844,65.097,65.269,65.45,65.647
GGR_NGDP,France,Percent of GDP,50.339,49.635,49.255,49.394,49.939,50.432,49.929,50.033,49.977,49.995,51.136,52.126,53.144,53.309,53.172,53.049,53.545,53.356,52.287,52.363,52.631,53.53
GGX_NGDP,France,Percent of GDP,51.718,52.795,53.271,52.985,53.294,52.876,52.566,53.296,57.152,56.882,56.291,57.107,57.228,57.214,56.798,56.686,56.503,55.645,55.352,61.347,59.115,58.336
GGXCNL_NGDP,France,Percent of GDP,-1.379,-3.16,-4.015,-3.591,-3.356,-2.444,-2.636,-3.264,-7.175,-6.887,-5.155,-4.981,-4.084,-3.905,-3.625,-3.637,-2.958,-2.289,-3.065,-8.984,-6.484,-4.807
GGSB_NPGDP,France,Percent of potential GDP,-2.117,-3.419,-3.683,-3.615,-3.849,-3.164,-3.841,-3.942,-5.709,-5.823,-4.696,-3.918,-2.816,-2.526,-2.097,-1.908,-1.893,-1.539,-2.109,-5.832,-5.128,-4.185
GGXONLB_NGDP,France,Percent of GDP,1.216,-0.546,-1.51,-1.08,-0.917,-0.062,-0.158,-0.615,-4.94,-4.606,-2.683,-2.548,-1.914,-1.85,-1.75,-1.892,-1.325,-0.68,-1.707,-7.811,-5.195,-3.028
GGXWDN_NGDP,France,Percent of GDP,49.525,51.24,55.027,56.684,58.882,58.009,58.047,59.813,69.752,73.623,76.429,79.974,82.992,85.465,86.348,89.185,89.377,89.239,88.881,101.237,100.405,101.361
GGXWDG_NGDP,France,Percent of GDP,58.341,60.258,64.415,65.938,67.382,64.611,64.537,68.777,83.04,85.256,87.837,90.602,93.412,94.889,95.582,97.958,98.131,97.783,97.426,114.65,112.963,111.8
BCA,France,U.S. dollars,21.696,17.225,15.413,11.288,2.283,5.877,-2.712,-20.404,-14.847,-16.654,-24.621,-25.901,-14.343,-27.317,-8.978,-12.025,-19.888,-23.212,13.99,-42.801,10.669,-56.77
BCA_NGDPD,France,Percent of GDP,1.575,1.148,0.836,0.533,0.104,0.253,-0.102,-0.696,-0.55,-0.629,-0.859,-0.965,-0.51,-0.956,-0.368,-0.486,-0.767,-0.831,0.513,-1.618,0.361,-2.042
NGDPD,France,U.S. dollars,"1,377.67","1,500.35","1,844.08","2,118.67","2,198.16","2,320.66","2,660.91","2,929.98","2,697.96","2,647.35","2,864.65","2,685.37","2,811.92","2,856.70","2,439.44","2,472.28","2,594.24","2,792.22","2,729.17","2,645.30","2,958.43","2,780.14"
NGDP_RPCH,Germany,Percent change,1.687,-0.201,-0.703,1.184,0.726,3.814,2.982,0.959,-5.696,4.185,3.914,0.427,0.432,2.217,1.487,2.23,2.68,0.984,1.071,-3.829,3.169,1.804
NGDPDPC,Germany,U.S. dollars,"23,869.77","25,460.33","30,668.85","34,534.81","35,020.20","36,894.47","42,299.86","46,367.72","42,338.84","42,379.71","46,697.38","43,883.39","46,299.23","48,035.95","41,107.10","42,124.20","44,636.83","47,961.18","46,810.28","46,711.98","51,460.99","48,756.31"
PPPSH,Germany,Percent,4.707,4.569,4.361,4.192,4.031,3.975,3.884,3.808,3.607,3.567,3.565,3.457,3.43,3.469,3.473,3.581,3.602,3.513,3.456,3.427,3.327,3.278
NID_NGDP,Germany,Percent of GDP,22.96,20.776,20.437,19.839,19.485,20.571,21.38,21.446,18.556,20.066,21.635,19.716,20.054,20.37,19.743,19.967,20.962,21.92,21.87,21.969,23.217,25.029
NGSD_NGDP,Germany,Percent of GDP,22.592,22.667,21.851,24.359,24.159,26.343,28.241,27.138,24.393,25.81,27.848,26.845,26.611,27.594,28.327,28.587,28.797,29.871,30.04,29.027,30.921,29.208
PCPIPCH,Germany,Percent change,1.9,1.326,1.074,1.78,1.928,1.775,2.271,2.754,0.246,1.119,2.482,2.159,1.607,0.769,0.68,0.367,1.702,1.935,1.354,0.371,3.212,8.666
TM_RPCH,Germany,Percent change,1.158,-2.578,5.602,6.93,6.233,11.521,6.491,1.842,-9.716,12.626,7.457,0.541,2.796,3.876,5.351,4.373,5.725,4.12,3.376,-8.901,8.761,6.771
TX_RPCH,Germany,Percent change,6.076,4.229,1.8,10.38,7.012,12.833,9.251,1.267,-14.273,14.033,8.528,3.572,1.183,4.679,4.88,2.292,5.559,2.4,2.297,-10.032,9.488,3.451
LUR,Germany,Percent of total labor force,7.8,8.6,9.708,10.333,11.008,10.042,8.542,7.425,7.225,6.575,5.517,5.083,4.95,4.708,4.367,3.908,3.567,3.208,2.975,3.625,3.575,3.067
LE,Germany,Persons,36.186,35.873,35.506,35.428,35.667,36.388,37.175,37.613,37.002,37.255,38.147,38.516,38.883,39.233,39.543,40.515,40.936,41.207,41.597,41.201,41.371,42.428
LP,Germany,Persons,81.518,81.579,81.549,81.456,81.337,81.174,80.993,80.764,80.483,80.285,80.276,80.426,80.646,80.983,81.687,82.349,82.657,82.906,83.093,83.161,83.196,83.798
GGR_NGDP,Germany,Percent of GDP,44.391,43.997,44.6,43.457,43.501,43.582,43.659,44.083,45.05,43.763,44.357,44.927,44.984,44.883,45.102,45.514,45.511,46.271,46.529,46.122,47.35,46.978
GGX_NGDP,Germany,Percent of GDP,47.416,47.872,48.304,46.791,46.821,45.235,43.398,44.2,48.2,48.142,45.238,44.918,44.944,44.303,44.141,44.354,44.175,44.321,45.003,50.462,50.937,49.477
GGXCNL_NGDP,Germany,Percent of GDP,-3.025,-3.875,-3.704,-3.334,-3.319,-1.653,0.261,-0.116,-3.151,-4.379,-0.881,0.009,0.04,0.58,0.961,1.16,1.336,1.95,1.526,-4.339,-3.587,-2.5
GGSB_NPGDP,Germany,Percent of potential GDP,-3.389,-3.583,-2.668,-2.748,-2.361,-1.928,-0.912,-1.008,-1.044,-2.647,-1.389,0.019,0.624,1.178,1.216,1.245,1.154,1.628,1.323,-2.893,-3.011,-2.119
GGXONLB_NGDP,Germany,Percent of GDP,-0.408,-1.228,-1.07,-0.795,-0.857,0.742,2.665,2.215,-0.771,-2.242,1.122,1.857,1.484,1.813,2.043,2.094,2.171,2.672,2.108,-3.886,-3.14,-1.946
GGXWDN_NGDP,Germany,Percent of GDP,46.092,48.616,52.397,54.903,57.455,56.244,53.407,53.153,60.032,61.954,60.069,59.366,58.419,54.865,52.17,49.309,45.525,42.808,40.683,46.125,47.155,45.767
GGXWDG_NGDP,Germany,Percent of GDP,58.193,59.946,63.538,65.201,67.546,66.887,64.158,65.682,73.157,81.995,79.417,80.745,78.322,75.279,71.947,68.955,65.21,61.905,59.549,68.746,68.96,66.113
BCA,Germany,U.S. dollars,-7.161,39.267,35.36,127.156,133.119,172.872,235.055,213.169,198.881,195.436,232.889,251.608,244.845,281.019,288.26,299.003,289.055,316.177,317.797,274.18,329.835,170.763
BCA_NGDPD,Germany,Percent of GDP,-0.368,1.891,1.414,4.52,4.673,5.772,6.861,5.692,5.836,5.744,6.213,7.129,6.557,7.224,8.584,8.62,7.834,7.952,8.17,7.058,7.704,4.18
