SbjCode,Country,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GGXWDN_NGDP,Italy,Percent of GDP,99.896,97.821,97.776,97.147,97.517,97.894,95.659,97.211,106.389,108.212,109.459,114.055,119.178,121.419,122.238,121.604,121.291,121.825,121.709,141.47,137.39,132.7
GGXWDG_NGDP,Italy,Percent of GDP,108.886,106.36,105.495,105.101,106.558,106.74,103.89,106.164,116.61,119.198,119.693,126.495,132.457,135.367,135.281,134.785,134.163,134.443,134.15,154.927,149.893,144.408
BCA,Italy,U.S. dollars,1.806,-6.353,-12.417,-8.702,-16.424,-28.773,-30.267,-67.305,-41.424,-70.439,-64.82,-4.816,24.522,41.3,26.555,49.684,52.137,54.526,66.624,73.061,65.022,-24.518
BCA_NGDPD,Italy,Percent of GDP,0.155,-0.498,-0.787,-0.482,-0.883,-1.476,-1.367,-2.795,-1.885,-3.295,-2.825,-0.231,1.145,1.91,1.446,2.648,2.659,2.605,3.312,3.854,3.073,-1.219
NGDPD,Italy,U.S. dollars,"1,168.03","1,275.87","1,577.23","1,805.72","1,859.24","1,949.66","2,213.36","2,408.39","2,197.54","2,137.85","2,294.59","2,088.28","2,141.95","2,162.57","1,836.82","1,876.55","1,961.10","2,092.88","2,011.53","1,895.69","2,115.76","2,012.01"
NGDPD,Japan,U.S. dollars,"4,374.71","4,182.85","4,519.56","4,893.14","4,831.47","4,601.66","4,579.75","5,106.68","5,289.49","5,759.07","6,233.15","6,272.36","5,212.33","4,897.00","4,444.93","5,003.68","4,930.84","5,040.88","5,118.00","5,050.68","5,011.87","4,237.53"
NGDP_RPCH,Japan,Percent change,0.386,0.042,1.535,2.186,1.804,1.372,1.484,-1.224,-5.693,4.098,0.024,1.375,2.005,0.296,1.561,0.754,1.675,0.643,-0.402,-4.242,2.23,1.047
NGDPDPC,Japan,U.S. dollars,"34,410.68","32,832.30","35,410.23","38,307.10","37,819.11","36,021.90","35,847.23","39,992.06","41,469.77","45,135.80","48,760.92","49,175.04","40,934.76","38,522.77","35,005.66","39,411.42","38,903.30","39,850.33","40,547.97","40,132.96","39,933.01","33,853.80"
PPPSH,Japan,Percent,6.735,6.554,6.396,6.209,6.035,5.811,5.595,5.368,5.084,5.024,4.833,4.759,4.746,4.588,4.643,4.436,4.285,4.165,4.038,3.986,3.835,3.75
NID_NGDP,Japan,Percent of GDP,27.755,25.899,25.661,25.638,26.052,26.078,25.769,25.87,22.603,22.59,23.541,24.005,24.418,25.036,25.165,24.836,25.215,25.642,25.79,25.291,25.678,26.742
NGSD_NGDP,Japan,Percent of GDP,29.725,28.508,28.746,29.359,29.573,29.869,30.402,28.661,25.348,26.429,25.624,24.956,25.299,25.787,28.235,28.788,29.343,29.169,29.235,28.26,29.606,28.881
PCPIPCH,Japan,Percent change,-0.694,-0.897,-0.263,-0.01,-0.288,0.256,0.047,1.383,-1.331,-0.742,-0.278,-0.049,0.332,2.758,0.799,-0.124,0.486,0.989,0.468,-0.026,-0.234,2.497
TM_RPCH,Japan,Percent change,1.163,0.787,3.394,8.504,5.946,4.704,2.271,0.733,-15.56,11.285,5.728,5.453,3.169,8.125,0.44,-1.175,3.307,3.814,0.988,-6.751,5.137,7.966
TX_RPCH,Japan,Percent change,-6.633,7.892,9.629,14.371,7.12,10.306,8.703,1.588,-23.383,24.861,-0.12,0.146,0.81,9.342,3.211,1.618,6.619,3.76,-1.458,-11.595,11.875,5.138
LUR,Japan,Percent of total labor force,5.042,5.358,5.242,4.733,4.425,4.117,3.833,3.983,5.075,5.058,4.583,4.325,4.008,3.583,3.375,3.108,2.825,2.442,2.358,2.783,2.808,2.592
LE,Japan,Persons,64.122,63.31,63.167,63.292,63.566,63.895,64.282,64.098,63.153,62.984,62.933,62.793,63.263,63.713,64.018,64.652,65.307,66.637,67.24,67.103,67.123,67.227
LP,Japan,Persons,127.132,127.4,127.634,127.734,127.752,127.746,127.757,127.692,127.551,127.594,127.831,127.552,127.333,127.12,126.978,126.96,126.746,126.495,126.221,125.849,125.507,125.171
GGR_NGDP,Japan,Percent of GDP,28.994,28.056,27.605,28.364,29.081,30.028,30.222,29.998,28.993,28.669,29.641,30.442,31.167,32.773,33.617,33.63,33.587,34.267,34.249,35.485,36.553,37.239
GGX_NGDP,Japan,Percent of GDP,35.194,35.392,35.038,33.678,33.52,33.057,33.123,34.107,38.686,37.745,38.627,38.638,38.778,38.389,37.295,37.229,36.686,36.739,37.294,44.546,42.703,44.093
GGXCNL_NGDP,Japan,Percent of GDP,-6.2,-7.336,-7.433,-5.314,-4.438,-3.029,-2.901,-4.11,-9.693,-9.076,-8.986,-8.196,-7.611,-5.616,-3.678,-3.6,-3.099,-2.471,-3.045,-9.061,-6.15,-6.854
GGSB_NPGDP,Japan,Percent of potential GDP,-5.838,-6.723,-7.153,-6.457,-5.1,-3.92,-3.838,-4.428,-6.936,-8.318,-8.277,-7.922,-7.49,-5.989,-4.493,-4.45,-3.655,-3.048,-3.332,-8.128,-5.46,-6.817
GGXONLB_NGDP,Japan,Percent of GDP,-4.901,-6.036,-6.181,-4.214,-3.61,-2.391,-2.193,-3.264,-8.679,-8,-7.784,-6.973,-6.48,-4.506,-2.631,-2.532,-2.164,-1.678,-2.364,-8.42,-5.581,-6.507
GGXWDN_NGDP,Japan,Percent of GDP,74.571,83.505,89.534,94.205,94.056,93.137,94.4,105.654,120.287,128.889,139.912,143.985,142.761,144.937,144.451,149.502,148.067,151.147,151.746,162.276,156.697,161.54
GGXWDG_NGDP,Japan,Percent of GDP,145.124,154.096,160.021,169.49,174.594,174.142,172.95,180.85,198.806,205.88,219.162,226.094,229.464,233.286,228.285,232.43,231.319,232.386,236.431,258.612,255.071,260.084
BCA,Japan,U.S. dollars,86.189,109.149,139.437,182.066,170.094,174.48,212.179,142.573,145.21,221.06,129.882,59.675,45.952,36.771,136.448,197.779,203.535,177.821,176.341,149.936,196.835,90.615
BCA_NGDPD,Japan,Percent of GDP,1.97,2.609,3.085,3.721,3.521,3.792,4.633,2.792,2.745,3.838,2.084,0.951,0.882,0.751,3.07,3.953,4.128,3.528,3.446,2.969,3.927,2.138
NGDPD,Russia,U.S. dollars,328.475,370.062,461.518,633.294,817.717,"1,060.90","1,393.42","1,779.11","1,307.93","1,633.11","2,046.62","2,191.48","2,288.43","2,048.84","1,356.70","1,280.65","1,575.14","1,653.01","1,695.72","1,488.12","1,836.63","2,244.25"
NGDP_RPCH,Russia,Percent change,5.082,4.746,7.356,7.145,6.397,8.165,8.55,5.247,-7.821,4.512,3.876,4.024,1.755,0.736,-1.973,0.194,1.827,2.806,2.198,-2.654,5.614,-2.07
NGDPDPC,Russia,U.S. dollars,"2,255.25","2,552.79","3,197.57","4,403.96","5,708.84","7,426.01","9,761.37","12,464.24","9,156.97","11,431.15","14,306.43","15,287.97","15,928.70","14,007.51","9,257.94","8,723.52","10,724.00","11,261.72","11,555.27","10,180.66","12,617.86","15,645.69"
PPPSH,Russia,Percent,3.154,3.214,3.316,3.375,3.428,3.522,3.628,3.708,3.433,3.406,3.403,3.451,3.537,3.43,3.148,3.042,3.118,3.095,3.079,3.091,3.072,2.911
NID_NGDP,Russia,Percent of GDP,19.553,17.891,18.75,18.884,18.196,19.255,22.047,23.308,17.22,20.658,24.261,24.554,23.272,22.391,22.149,23.095,23.607,21.918,22.662,23.456,23.205,22.285
NGSD_NGDP,Russia,Percent of GDP,29.311,25.315,25.928,28.131,28.516,27.957,27.228,29.15,21.072,24.788,29.014,27.806,24.732,25.198,27.144,25.006,25.65,28.916,26.533,25.833,29.854,32.805
PCPIPCH,Russia,Percent change,21.477,15.789,13.663,10.889,12.685,9.669,9.007,14.111,11.647,6.849,8.44,5.075,6.754,7.823,15.534,7.042,3.683,2.878,4.47,3.382,6.694,13.767
TM_RPCH,Russia,Percent change,16.955,19.016,6.2,11.525,10.036,26.976,34.388,22.183,-32.629,28.984,20.088,7.201,1.103,-7.853,-25.833,-4.296,16.774,2.664,2.777,-11.804,16.656,-14.484
TX_RPCH,Russia,Percent change,4.353,10.122,13.281,11.973,6.824,6.666,6.298,3.859,-4.496,8.619,-2.083,-0.063,4.886,-0.976,2.969,1.851,4.471,5.108,-3.348,-4.378,0.554,-6.754
LUR,Russia,Percent of total labor force,8.942,8.042,8.233,7.733,7.15,7.05,6.025,6.233,8.242,7.358,6.508,5.45,5.5,5.158,5.575,5.525,5.2,4.8,4.6,5.783,4.825,3.942
LE,Russia,Persons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP,Russia,Persons,145.649,144.964,144.334,143.801,143.237,142.863,142.748,142.737,142.834,142.865,143.056,143.347,143.667,146.267,146.545,146.804,146.88,146.781,146.749,146.171,145.558,143.442
GGR_NGDP,Russia,Percent of GDP,34.456,34.491,33.949,34.203,37.055,36.843,37.527,36.56,32.707,32.311,34.693,34.411,33.49,33.868,31.887,32.916,33.361,35.544,35.682,35.164,35.566,34.645
GGX_NGDP,Russia,Percent of GDP,31.464,33.818,32.599,29.628,29.458,29.04,31.942,32.01,38.596,35.505,33.261,34.029,34.652,34.938,35.273,36.586,34.83,32.621,33.752,39.153,34.793,36
GGXCNL_NGDP,Russia,Percent of GDP,2.991,0.673,1.35,4.575,7.597,7.804,5.585,4.549,-5.889,-3.194,1.432,0.382,-1.162,-1.07,-3.386,-3.67,-1.469,2.923,1.93,-3.989,0.773,-1.355
GGSB_NPGDP,Russia,Percent of potential GDP,2.739,0.894,1.575,4.707,7.763,7.671,4.738,3.474,-4.418,-2.432,1.486,0.073,-1.56,-0.134,-3.077,-3.209,-1.002,2.944,1.987,-4.362,0.499,-1.089
GGXONLB_NGDP,Russia,Percent of GDP,5.459,2.59,2.796,5.635,8.342,8.319,5.584,4.737,-6.197,-3.079,1.709,0.655,-0.825,-0.677,-3.136,-3.235,-0.96,3.425,2.2,-3.746,1.107,-1.105
GGXWDN_NGDP,Russia,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGXWDG_NGDP,Russia,Percent of GDP,44.438,37.577,28.334,20.828,14.851,9.804,8.033,7.446,9.918,10.105,10.34,11.167,12.348,15.136,15.286,14.849,14.311,13.62,13.748,19.156,16.455,18.889
BCA,Russia,U.S. dollars,32.054,27.473,33.128,58.56,84.389,92.316,72.193,103.935,50.384,67.452,97.274,71.282,33.428,57.513,67.777,24.469,32.179,115.68,65.65,35.373,122.114,236.077
BCA_NGDPD,Russia,Percent of GDP,9.758,7.424,7.178,9.247,10.32,8.702,5.181,5.842,3.852,4.13,4.753,3.253,1.461,2.807,4.996,1.911,2.043,6.998,3.872,2.377,6.649,10.519
NGDP_RPCH,United Kingdom,Percent change,2.157,1.771,3.123,2.345,2.668,2.16,2.563,-0.154,-4.51,2.43,1.068,1.448,1.82,3.2,2.393,2.165,2.444,1.705,1.604,-11.031,7.597,4.102
NGDPDPC,United Kingdom,U.S. dollars,"27,897.13","30,129.42","34,516.91","40,434.58","42,170.81","44,613.88","50,457.55","47,918.32","38,969.68","39,736.21","42,147.69","42,489.95","43,492.46","47,476.19","45,085.34","41,275.86","40,666.83","43,377.76","42,797.26","40,347.36","46,421.61","45,461.07"
PPPSH,United Kingdom,Percent,3.17,3.139,3.111,3.024,2.965,2.877,2.8,2.715,2.603,2.532,2.461,2.421,2.423,2.43,2.477,2.496,2.496,2.451,2.424,2.224,2.252,2.268
NID_NGDP,United Kingdom,Percent of GDP,17.945,18.037,17.699,17.618,17.779,18.092,18.463,17.502,14.826,16.208,15.83,15.858,16.074,17.279,17.719,17.864,18.31,17.971,18.138,17.209,17.926,19.567
NGSD_NGDP,United Kingdom,Percent of GDP,16.133,15.997,15.821,15.247,15.732,14.927,14.68,13.54,11.673,13.325,14.026,12.569,11.298,12.129,12.65,12.378,14.701,13.9,15.309,14.008,16.424,15.799
PCPIPCH,United Kingdom,Percent change,1.234,1.259,1.362,1.344,2.057,2.329,2.323,3.602,2.165,3.298,4.464,2.828,2.565,1.461,0.04,0.66,2.683,2.478,1.791,0.851,2.588,9.067
TM_RPCH,United Kingdom,Percent change,6.452,5.643,2.601,6.731,7.075,10.539,-1.81,-1.841,-7.412,8.275,2.623,1.967,3.483,4.927,4.953,3.979,3.342,3.337,2.603,-16.049,6.193,13.292
TX_RPCH,United Kingdom,Percent change,2.546,0.398,1.553,4.839,7.389,12.338,-1.824,2.379,-9.01,6.833,6.931,0.804,0.208,1.13,3.988,3.219,6.844,3.15,1.715,-12.084,2.245,9.891
LUR,United Kingdom,Percent of total labor force,5.1,5.2,5,4.75,4.825,5.425,5.35,5.725,7.625,7.9,8.1,7.975,7.575,6.2,5.375,4.875,4.425,4.075,3.825,4.55,4.475,3.7
LE,United Kingdom,Persons,27.712,27.944,28.221,28.53,28.85,29.138,29.378,29.629,29.156,29.229,29.378,29.697,30.043,30.754,31.285,31.744,32.057,32.439,32.799,32.509,32.407,32.744
LP,United Kingdom,Persons,59.113,59.366,59.637,59.95,60.413,60.827,61.319,61.824,62.261,62.76,63.285,63.705,64.106,64.597,65.11,65.648,66.04,66.436,66.797,67.081,67.28,67.791
GGR_NGDP,United Kingdom,Percent of GDP,34.837,33.948,33.966,34.843,35.257,35.572,35.889,35.744,34.483,35.402,36.07,36.078,36.454,35.665,35.749,36.18,36.643,36.565,36.311,36.86,38.013,38.796
GGX_NGDP,United Kingdom,Percent of GDP,34.621,35.818,37.069,37.883,38.371,38.324,38.534,40.852,44.503,44.596,43.53,43.684,41.955,41.201,40.289,39.512,39.009,38.741,38.537,49.867,46.269,44.302
GGXCNL_NGDP,United Kingdom,Percent of GDP,0.216,-1.869,-3.103,-3.041,-3.114,-2.752,-2.644,-5.108,-10.02,-9.194,-7.46,-7.605,-5.501,-5.537,-4.541,-3.332,-2.366,-2.176,-2.226,-13.007,-8.256,-5.506
GGSB_NPGDP,United Kingdom,Percent of potential GDP,0.636,-0.896,-2.249,-2.301,-2.663,-2.603,-3.149,-5.1,-6.673,-5.541,-4.053,-4.125,-2.2,-2.944,-2.536,-1.618,-1.281,-1.399,-1.646,0.795,-3.646,-3.805
GGXONLB_NGDP,United Kingdom,Percent of GDP,1.643,-0.561,-1.765,-1.651,-1.602,-1.216,-1.041,-3.6,-8.637,-6.757,-4.762,-5.315,-4.164,-3.733,-3.074,-1.756,-0.59,-0.531,-0.855,-11.955,-6.095,-2.17
GGXWDN_NGDP,United Kingdom,Percent of GDP,29.377,29.988,31.502,34.321,35.49,36.08,36.464,43.357,56.377,66.904,71.567,74.635,75.828,77.876,78.157,77.605,76.155,75.396,74.618,93.609,94.119,98.892
GGXWDG_NGDP,United Kingdom,Percent of GDP,33.793,34.105,35.3,38.218,39.405,40.457,41.555,49.157,63.056,73.98,79.779,83.09,84.063,86.069,86.658,86.569,85.642,85.154,84.485,104.591,105.161,101.86
BCA,United Kingdom,U.S. dollars,-29.891,-36.481,-38.644,-57.49,-52.149,-85.876,-117.046,-117.36,-76.49,-71.899,-48.124,-89.028,-133.146,-157.953,-148.814,-148.654,-96.917,-117.321,-80.872,-86.613,-46.918,-116.144
BCA_NGDPD,United Kingdom,Percent of GDP,-1.813,-2.04,-1.877,-2.372,-2.047,-3.165,-3.783,-3.962,-3.153,-2.883,-1.804,-3.289,-4.775,-5.15,-5.069,-5.486,-3.609,-4.071,-2.829,-3.2,-1.502,-3.769
NGDPD,United Kingdom,U.S. dollars,"1,649.08","1,788.66","2,058.49","2,424.05","2,547.67","2,713.73","3,094.01","2,962.50","2,426.29","2,493.84","2,667.32","2,706.82","2,788.13","3,066.82","2,935.51","2,709.68","2,685.64","2,881.85","2,858.73","2,706.54","3,123.23","3,081.87"
NGDP_RPCH,United States,Percent change,0.954,1.696,2.796,3.852,3.483,2.783,2.011,0.122,-2.6,2.709,1.55,2.281,1.842,2.288,2.707,1.668,2.242,2.945,2.295,-2.768,5.947,2.062
NGDPDPC,United States,U.S. dollars,"37,101.45","37,945.76","39,405.35","41,641.62","44,034.26","46,216.85","47,943.35","48,470.55","47,102.43","48,586.29","50,008.11","51,736.74","53,245.52","55,083.51","56,729.68","57,839.99","59,878.72","62,787.78","65,077.30","63,577.34","70,159.77","76,343.25"
PPPSH,United States,Percent,19.972,19.758,19.52,19.258,19.028,18.577,17.98,17.483,17.101,16.675,16.286,16.115,15.92,15.993,16.254,16.073,15.903,15.809,15.742,15.781,15.735,15.541
NID_NGDP,United States,Percent of GDP,22.177,21.723,21.746,22.652,23.376,23.538,22.557,21.037,17.769,18.672,19.034,19.951,20.343,20.778,21.201,20.567,20.814,21.206,21.319,21.051,21.104,21.559
NGSD_NGDP,United States,Percent of GDP,19.553,18.263,17.314,17.626,18.018,19.086,17.302,14.936,13.727,15.201,16.162,18.505,18.934,20.1,20.156,18.907,19.498,19.613,19.696,19.258,17.963,18.291
PCPIPCH,United States,Percent change,2.817,1.596,2.298,2.668,3.366,3.222,2.871,3.815,-0.32,1.637,3.14,2.073,1.466,1.615,0.121,1.267,2.131,2.439,1.813,1.251,4.683,7.986
TM_RPCH,United States,Percent change,-2.461,3.668,5.125,10.981,6.492,6.421,2.563,-2.148,-12.61,13.173,4.817,2.447,1.214,5.16,5.187,1.451,4.509,4.206,1.144,-8.958,14.134,8.08
TX_RPCH,United States,Percent change,-5.582,-1.961,2.102,9.638,6.939,9.467,8.759,5.782,-8.295,12.882,7.169,4.014,2.97,3.883,0.271,0.407,4.268,2.802,0.47,-13.235,6.054,7.081
LUR,United States,Percent of total labor force,4.742,5.783,5.992,5.542,5.083,4.608,4.617,5.8,9.283,9.608,8.933,8.075,7.358,6.158,5.275,4.875,4.358,3.892,3.683,8.092,5.367,3.642
LE,United States,Persons,136.939,136.481,137.729,139.24,141.71,144.418,146.05,145.373,139.894,139.077,139.885,142.475,143.941,146.319,148.845,151.436,153.335,155.763,157.534,147.813,152.586,158.297
LP,United States,Persons,285.216,288.019,290.733,293.389,296.115,298.93,301.903,304.718,307.374,309.737,311.944,314.167,316.331,318.619,320.926,323.221,325.28,327.023,328.547,331.257,332.314,333.53
GGR_NGDP,United States,Percent of GDP,32.257,29.877,29.266,29.476,30.853,31.656,31.649,30.532,28.222,28.77,29.08,29.109,31.291,31.38,31.66,31.179,30.647,30.229,30.222,30.815,31.396,32.549
GGX_NGDP,United States,Percent of GDP,32.794,33.691,34.031,33.713,33.921,33.685,34.554,37.136,41.392,39.753,38.783,37.211,35.839,35.429,35.192,35.553,35.448,35.551,35.965,44.818,43.017,36.255
GGXCNL_NGDP,United States,Percent of GDP,-0.537,-3.814,-4.764,-4.237,-3.068,-2.029,-2.906,-6.604,-13.17,-10.983,-9.703,-8.102,-4.548,-4.049,-3.532,-4.373,-4.801,-5.322,-5.743,-14.003,-11.62,-3.706
GGSB_NPGDP,United States,Percent of potential GDP,-0.758,-2.792,-3.671,-3.577,-2.616,-1.967,-2.893,-4.744,-6.551,-8.193,-6.731,-4.962,-3.154,-2.667,-2.542,-3.582,-4.318,-5.106,-5.966,-10.656,-11.35,-6.525
GGXONLB_NGDP,United States,Percent of GDP,1.769,-1.718,-2.812,-2.351,-1.084,-0.074,-0.847,-4.589,-11.288,-8.966,-7.42,-5.905,-2.579,-2.08,-1.69,-2.384,-2.781,-3.088,-3.469,-11.945,-9.338,-1.287
GGXWDN_NGDP,United States,Percent of GDP,33.979,36.382,39.151,47.815,46.505,45.129,45.3,51.545,62.644,69.749,76.249,80.417,80.317,81.052,80.874,81.848,80.42,81.132,83.057,98.344,98.311,95.098
GGXWDG_NGDP,United States,Percent of GDP,53.146,55.538,58.625,66.095,65.442,64.178,64.566,73.413,86.581,95.141,99.478,103.042,104.543,104.541,105.127,107.156,106.208,107.438,108.747,133.496,126.416,121.306
BCA,United States,U.S. dollars,-394.085,-456.106,-522.293,-635.891,-749.232,-816.647,-736.549,-696.523,-379.729,-432.01,-455.302,-418.182,-339.517,-370.056,-408.454,-396.216,-367.615,-439.849,-441.75,-597.139,-831.445,-971.594
BCA_NGDPD,United States,Percent of GDP,-3.724,-4.173,-4.559,-5.205,-5.746,-5.911,-5.089,-4.716,-2.623,-2.871,-2.919,-2.573,-2.016,-2.109,-2.244,-2.119,-1.887,-2.142,-2.066,-2.835,-3.566,-3.816
NGDPD,United States,U.S. dollars,"10,581.93","10,929.10","11,456.45","12,217.18","13,039.20","13,815.60","14,474.25","14,769.85","14,478.05","15,048.98","15,599.73","16,253.95","16,843.23","17,550.68","18,206.03","18,695.10","19,477.35","20,533.08","21,380.95","21,060.45","23,315.08","25,462.73"
PCPIEPCH,United States,Percent change,1.552,2.616,1.909,3.209,3.683,2.199,4.084,0.701,1.919,1.689,3.086,1.822,1.319,0.524,0.695,2.197,2.178,1.926,2.088,1.565,7.398,6.433
PCPIEPCH,United Kingdom,Percent change,1.059,1.661,1.27,1.673,1.918,2.985,2.083,3.051,2.894,3.703,4.197,2.677,2.034,0.547,0.202,1.559,2.973,2.104,1.302,0.589,5.386,10.528
PCPIEPCH,France,Percent change,1.496,2.185,2.407,2.243,1.727,1.675,2.787,1.164,0.988,1.988,2.634,1.519,0.849,0.1,0.29,0.829,1.268,1.927,1.66,-0.261,3.332,6.958
PCPIEPCH,Germany,Percent change,1.375,0.986,1.099,2.174,2.128,1.389,3.082,0.997,0.877,1.848,2.348,2.086,1.328,0.202,0.201,1.707,1.579,1.846,1.718,-0.563,5.849,9.804
PCPIEPCH,Italy,Percent change,2.264,2.995,2.528,2.343,2.048,2.125,2.775,2.362,1.099,2.065,3.727,2.567,0.601,0,0.1,0.497,0.989,1.175,0.484,-0.289,4.155,12.338
PCPIEPCH,Canada,Percent change,1.069,3.82,1.708,2.293,2.305,1.389,2.496,1.841,0.787,2.228,2.661,0.993,0.956,1.974,1.273,1.414,1.833,2.054,2.062,0.779,4.734,6.642
PCPIEPCH,Japan,Percent change,-0.91,-0.536,-0.308,0.527,-0.76,0.368,0.512,1.073,-2,-0.255,-0.302,-0.245,1.397,2.551,0.197,0.267,0.548,0.867,0.509,-0.913,0.515,3.878
PCPIEPCH,India,Percent change,5.101,3.783,3.989,4.233,4.882,7.001,6.283,9.36,10.538,9.166,8.781,10.314,7.833,5.272,5.259,3.569,4.594,2.465,6.668,4.867,6.344,6.206
PCPIEPCH,Russia,Percent change,18.584,15.056,11.988,11.741,10.915,8.996,11.869,13.282,8.797,8.777,6.101,6.576,6.45,11.362,12.908,5.375,2.523,4.269,3.046,4.912,8.393,12.223
PCPIEPCH,China,Percent change,-0.471,-0.41,3.264,2.409,1.678,2.888,6.63,1.222,1.632,4.53,4.096,2.448,2.553,1.542,1.676,2.102,1.679,1.779,4.491,0.18,1.42,1.824
NGDPRPPPPC,Canada,"Gross domestic product per capita, constant prices","41,952.43","42,752.97","43,117.35","44,033.29","45,016.85","45,740.72","46,234.50","46,205.53","44,343.81","45,206.13","46,165.98","46,482.40","47,063.78","47,924.29","47,853.97","47,831.31","48,688.11","49,352.63","49,565.49","46,508.36","48,547.99","49,388.90"
NGDPRPPPPC,China,"Gross domestic product per capita, constant prices","3,690.64","4,001.13","4,375.73","4,790.10","5,304.32","5,947.03","6,759.28","7,370.11","8,027.09","8,836.40","9,621.15","10,299.39","11,034.45","11,770.84","12,535.04","13,306.59","14,151.79","15,050.18","15,893.00","16,225.86","17,590.90","18,127.56"
NGDPRPPPPC,France,"Gross domestic product per capita, constant prices","41,824.94","42,021.38","42,081.29","42,858.31","43,279.82","44,112.60","44,873.83","44,693.10","43,219.22","43,786.96","44,546.88","44,492.66","44,577.38","44,774.66","45,052.19","45,375.80","46,369.70","47,063.66","47,766.45","43,980.60","46,652.53","47,686.00"
NGDPRPPPPC,Germany,"Gross domestic product per capita, constant prices","44,273.71","44,151.73","43,857.24","44,427.03","44,815.22","46,617.83","48,115.25","48,714.29","46,100.07","48,148.08","50,038.55","50,157.85","50,237.32","51,137.49","51,450.65","52,175.10","53,373.92","53,737.43","54,190.14","52,072.46","53,699.87","54,276.02"
NGDPRPPPPC,India,"Gross domestic product per capita, constant prices","2,425.93","2,476.33","2,627.36","2,786.57","2,996.83","3,224.93","3,489.47","3,574.04","3,823.55","4,158.17","4,374.23","4,551.86","4,780.12","5,071.05","5,411.87","5,789.68","6,112.07","6,436.15","6,617.13","6,172.04","6,677.19","7,112.04"
NGDPRPPPPC,Italy,"Gross domestic product per capita, constant prices","44,094.50","44,181.20","44,093.06","44,390.39","44,420.06","45,025.68","45,522.09","44,708.94","42,049.40","42,576.59","42,693.08","41,312.46","40,436.08","40,388.27","40,736.64","41,353.93","42,111.53","42,592.86","42,885.33","39,149.25","42,171.07","43,893.24"
NGDPRPPPPC,Japan,"Gross domestic product per capita, constant prices","36,284.70","36,223.57","36,712.20","37,485.39","38,156.35","38,681.72","39,252.31","38,791.51","36,623.68","38,111.41","38,049.96","38,657.45","39,500.44","39,683.85","40,348.24","40,657.98","41,408.95","41,757.97","41,680.50","40,030.32","41,034.42","41,575.06"
NGDPRPPPPC,Russia,"Gross domestic product per capita, constant prices","15,509.00","16,321.84","17,598.92","18,926.33","20,216.26","21,924.20","23,817.97","25,069.65","23,093.27","24,130.08","25,031.82","25,986.27","26,383.54","26,105.35","25,541.80","25,546.13","25,999.32","26,746.97","27,340.87","26,720.57","28,339.60","28,162.46"
NGDPRPPPPC,United Kingdom,"Gross domestic product per capita, constant prices","39,688.05","40,218.69","41,286.28","42,033.82","42,824.68","43,452.10","44,208.40","43,779.61","41,511.52","42,182.20","42,278.87","42,608.49","43,112.52","44,153.81","44,854.25","45,449.89","46,284.11","46,792.68","47,286.43","41,892.22","44,941.86","46,432.03"
NGDPRPPPPC,United States,"Gross domestic product per capita, constant prices","50,106.48","50,460.27","51,387.02","52,883.65","54,221.85","55,205.94","55,761.32","55,313.76","53,410.17","54,438.39","54,890.98","55,745.73","56,383.96","57,259.64","58,386.74","58,938.89","59,878.72","61,313.66","62,429.70","60,205.08","63,582.33","64,656.89"
PPPGDP,Canada,"Gross domestic product, current prices",954.244,998.365,"1,036.41","1,097.08","1,167.74","1,235.49","1,295.17","1,333.26","1,302.54","1,358.93","1,430.81","1,468.10","1,554.12","1,621.40","1,594.90","1,678.39","1,776.86","1,870.11","1,939.59","1,865.20","2,046.66","2,265.32"
PPPGDP,China,"Gross domestic product, current prices","4,050.99","4,489.11","5,036.46","5,694.74","6,542.26","7,601.32","8,918.95","9,961.92","10,972.76","12,282.96","13,735.67","15,137.46","16,277.36","17,200.69","17,880.34","18,701.70","19,814.06","21,660.21","23,360.81","24,196.27","27,419.47","30,217.11"
PPPGDP,France,"Gross domestic product, current prices","1,754.29","1,802.66","1,853.69","1,951.62","2,048.00","2,167.22","2,278.78","2,325.84","2,275.60","2,344.40","2,446.48","2,474.01","2,608.53","2,662.03","2,719.22","2,863.82","2,997.30","3,125.17","3,241.31","3,031.37","3,369.29","3,696.24"
PPPGDP,Germany,"Gross domestic product, current prices","2,493.79","2,527.57","2,559.34","2,659.16","2,762.46","2,956.30","3,126.73","3,217.26","3,053.45","3,219.49","3,415.02","3,487.23","3,628.56","3,807.12","3,890.13","4,164.75","4,411.73","4,562.24","4,693.78","4,572.96","4,929.78","5,370.29"
PPPGDP,India,"Gross domestic product, current prices","2,172.73","2,292.81","2,523.80","2,794.96","3,150.25","3,548.31","4,001.38","4,236.79","4,625.52","5,161.39","5,618.38","6,153.15","6,477.52","6,781.02","7,159.80","7,735.00","8,276.93","9,022.95","9,540.37","9,101.31","10,370.82","11,900.71"
